CreatedDate,Shape,RapUploadNo,MinSize,MaxSize,Color,Clarity,IsUpdated,Price
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,IF,FALSE,770
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,VVS1,FALSE,770
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,VS2,FALSE,650
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,SI2,FALSE,490
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,SI3,FALSE,420
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,I1,FALSE,350
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,I2,FALSE,270
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,SI3,FALSE,320
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,VVS2,FALSE,1610
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,SI1,FALSE,1130
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,SI2,FALSE,970
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,I,I3,FALSE,270
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,VVS1,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,VS1,FALSE,850
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,VS2,FALSE,850
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,K,VVS2,FALSE,770
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,VVS2,FALSE,770
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,SI1,FALSE,570
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,I3,FALSE,210
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,IF,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,VVS1,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,VVS2,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,VS1,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,VS1,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,I1,FALSE,260
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,I2,FALSE,200
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,IF,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,SI3,FALSE,540
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,K,I3,FALSE,210
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,SI3,FALSE,320
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,I2,FALSE,200
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,IF,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,VVS1,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,SI1,FALSE,430
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,SI2,FALSE,370
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,IF,FALSE,1610
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,VVS1,FALSE,1610
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,VS1,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.23,0.29,D,VS2,FALSE,1400
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,I,I2,FALSE,350
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,VVS2,FALSE,1000
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,SI2,FALSE,650
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,J,I2,FALSE,350
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,K,IF,FALSE,770
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,K,VVS1,FALSE,770
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,K,SI3,FALSE,420
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,K,I1,FALSE,350
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,L,VS1,FALSE,650
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,VS2,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,SI1,FALSE,430
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,SI2,FALSE,370
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,I1,FALSE,260
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,M,I3,FALSE,150
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,VVS2,FALSE,600
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,VS2,FALSE,510
2025-03-21T04:42:44.276Z,PB,1,0.18,0.22,N,I3,FALSE,150
